title,year,source,authors,class,keywords,abstract,pdf_link,topic
Information Maximization Perspective of Orthogonal Matching Pursuit with Applications to Explainable AI,2023,NIPS,"'Aditya Chattopadhyay', 'Ryan Pilgrim', 'Rene Vidal'",spotlight,,"Information Pursuit (IP) is a classical active testing algorithm for predicting an output by sequentially and greedily querying the input in order of information gain. However, IP is computationally intensive since it involves estimating mutual information in high-dimensional spaces. This paper explores Orthogonal Matching Pursuit (OMP) as an alternative to IP for greedily selecting the queries. OMP is a classical signal processing algorithm for sequentially encoding a signal in terms of dictionary atoms chosen in order of correlation gain. In each iteration, OMP selects the atom that is most correlated with the signal residual (the signal minus its reconstruction thus far). Our first contribution is to establish a fundamental connection between IP and OMP, where we prove that IP with random projections of dictionary atoms as queries ``almost'' reduces to OMP, with the difference being that IP selects atoms in order of normalized correlation gain. We call this version IP-OMP and present simulations indicating that this difference does not have any appreciable effect on the sparse code recovery rate of IP-OMP compared to that of OMP for random Gaussian dictionaries. Inspired by this connection, our second contribution is to explore the utility of IP-OMP for generating explainable predictions, an area in which IP has recently gained traction. More specifically, we propose a simple explainable AI algorithm which encodes an image as a sparse combination of semantically meaningful dictionary atoms that are defined as text embeddings of interpretable concepts. The final prediction is made using the weights of this sparse combination, which serve as an explanation. Empirically, our proposed algorithm is not only competitive with existing explainability methods but also computationally less expensive.",https://api2.openreview.net/pdf/85c4c03ddf3bda422a872dc4110f7e55d0551002.pdf,sparse;active learning;explainable AI;action detection
STEVE-1: A Generative Model for Text-to-Behavior in Minecraft,2023,NIPS,"'Shalev Lifshitz', 'Keiran Paster', 'Harris Chan', 'Jimmy Ba', 'Sheila A. McIlraith'",spotlight,,"Constructing AI models that respond to text instructions is challenging, especially for sequential decision-making tasks. This work introduces an instruction-tuned Video Pretraining (VPT) model for Minecraft called STEVE-1, demonstrating that the unCLIP approach, utilized in DALL•E 2, is also effective for creating instruction-following sequential decision-making agents. STEVE-1 is trained in two steps: adapting the pretrained VPT model to follow commands in MineCLIP's latent space, then training a prior to predict latent codes from text. This allows us to finetune VPT through self-supervised behavioral cloning and hindsight relabeling, bypassing the need for costly human text annotations. By leveraging pretrained models like VPT and MineCLIP and employing best practices from text-conditioned image generation, STEVE-1 costs just $60 to train and can follow short-horizon open-ended text and visual instructions in Minecraft. STEVE-1 sets a new bar for open-ended instruction following in Minecraft with low-level controls (mouse and keyboard) and raw pixel inputs, far outperforming previous baselines and robustly completing 12 of 13 tasks in our early-game evaluation suite. We provide experimental evidence highlighting key factors for downstream performance, including pretraining, classifier-free guidance, and data scaling. All resources, including our model weights, training scripts, and evaluation tools are made available for further research.",https://api2.openreview.net/pdf/3f03e161ea3e5af996e4365cd8c0a6254e8ec6c6.pdf,reinforcement learning;graph;zero_few-shot;transformer;generative model;transfer learning;search;streaming;self-learning;guidance in generative model;Agentic AI;video
"On the Variance, Admissibility, and Stability of Empirical Risk Minimization",2023,NIPS,"'Gil Kur', 'Eli Putterman', 'Alexander Rakhlin'",spotlight,,"It is well known that Empirical Risk Minimization (ERM) may attain minimax suboptimal rates in terms of the mean squared error (Birgé and Massart, 1993). In this paper, we prove that, under relatively mild assumptions, the suboptimality of ERM must be due to its bias. Namely, the variance error term of ERM (in terms of the bias and variance decomposition) enjoys the minimax rate. In the fixed design setting, we provide an elementary proof of this result using the probabilistic method. Then, we extend our proof to the random design setting for various models. In addition, we provide a simple proof of Chatterjee’s admissibility theorem (Chatterjee, 2014, Theorem 1.4), which states that in the fixed design setting, ERM cannot be ruled out as an optimal method, and then we extend this result to the random design setting. We also show that our estimates imply stability of ERM, complementing the main result of Caponnetto and Rakhlin (2006) for non-Donsker classes. Finally, we highlight the somewhat irregular nature of the loss landscape of ERM in the non-Donsker regime, by showing that functions can be close to ERM, in terms of $L_2$ distance, while still being far from almost-minimizers of the empirical loss.",https://api2.openreview.net/pdf/23c02b08c192fae4fd2b6f452a0e2ef97a7e5baa.pdf,segmentation;decomposition
From Pixels to UI Actions: Learning to Follow Instructions via Graphical User Interfaces,2023,NIPS,"'Peter Shaw', 'Mandar Joshi', 'James Cohan', 'Jonathan Berant', 'Panupong Pasupat', 'Hexiang Hu', 'Urvashi Khandelwal', 'Kenton Lee', 'Kristina Toutanova'",spotlight,,"Much of the previous work towards digital agents for graphical user interfaces (GUIs) has relied on text-based representations (derived from HTML or other structured data sources), which are not always readily available. These input representations have been often coupled with custom, task-specific action spaces.  This paper focuses on creating agents that interact with the digital world using the same conceptual interface that humans commonly use — via pixel-based screenshots and a generic action space corresponding to keyboard and mouse actions. Building upon recent progress in pixel-based pretraining, we show, for the first time, that it is possible for such agents to outperform human crowdworkers on the MiniWob++ benchmark of GUI-based instruction following tasks.",https://api2.openreview.net/pdf/a52a52e0e8e330a8e2a1416c429852ed72b1446a.pdf,reinforcement learning;graph;zero_few-shot;representation;action detection;Agentic AI
Fine-Grained Human Feedback Gives Better Rewards for Language Model Training,2023,NIPS,"'Zeqiu Wu', 'Yushi Hu', 'Weijia Shi', 'Nouha Dziri', 'Alane Suhr', 'Prithviraj Ammanabrolu', 'Noah A. Smith', 'Mari Ostendorf', 'Hannaneh Hajishirzi'",spotlight,,"Language models (LMs) often exhibit undesirable text generation behaviors, including generating false, toxic, or irrelevant outputs. 
Reinforcement learning from human feedback (RLHF)---where human preference judgments on LM outputs are transformed into a learning signal---has recently shown promise in addressing these issues. However, such holistic feedback conveys limited information on long text outputs; it does not indicate which aspects of the outputs influenced user preference; e.g., which parts contain what type(s) of errors. In this paper, we use fine-grained human feedback (e.g., which sentence is false, which sub-sentence is irrelevant) as an explicit training signal. We introduce Fine-Grained RLHF, a framework that enables training and learning from reward functions that are fine-grained in two respects: (1) density, providing a reward after every segment (e.g., a sentence) is generated; and (2) incorporating multiple reward models associated with different feedback types (e.g., factual incorrectness, irrelevance, and information incompleteness). We conduct experiments on detoxification and long-form question answering to illustrate how learning with this reward function leads to improved performance, supported by both automatic and human evaluation. Additionally, we show that LM behaviors can be customized using different combinations of fine-grained reward models. We release all data, collected human feedback, and codes at https://FineGrainedRLHF.github.io.",https://api2.openreview.net/pdf/a9c6f119c447d0b45293ea94d1080f35ff06afcb.pdf,reinforcement learning;generative model;llm;reward model;Factual
Scale Alone Does not Improve Mechanistic Interpretability in Vision Models,2023,NIPS,"'Roland S. Zimmermann', 'Thomas Klein', 'Wieland Brendel'",spotlight,,"In light of the recent widespread adoption of AI systems, understanding the internal information processing of neural networks has become increasingly critical. Most recently, machine vision has seen remarkable progress by scaling neural networks to unprecedented levels in dataset and model size. We here ask whether this extraordinary increase in scale also positively impacts the field of mechanistic interpretability. In other words, has our understanding of the inner workings of scaled neural networks improved as well? We use a psychophysical paradigm to quantify one form of mechanistic interpretability for a diverse suite of nine models and find no scaling effect for interpretability - neither for model nor dataset size. Specifically, none of the investigated state-of-the-art models are easier to interpret than the GoogLeNet model from almost a decade ago. Latest-generation vision models appear even less interpretable than older architectures, hinting at a regression rather than improvement, with modern models sacrificing interpretability for accuracy. These results highlight the need for models explicitly designed to be mechanistically interpretable and the need for more helpful interpretability methods to increase our understanding of networks at an atomic level. We release a dataset containing more than 130'000 human responses from our psychophysical evaluation of 767 units across nine models. This dataset facilitates research on automated instead of human-based interpretability evaluations, which can ultimately be leveraged to directly optimize the mechanistic interpretability of models.",https://api2.openreview.net/pdf/72b0a93789ca2e8c88d973e811d46f723eaa54d8.pdf,transformer;generative model;explainable AI;search;interpretation
Precise asymptotic generalization for multiclass classification with overparameterized linear models,2023,NIPS,"'David Xing Wu', 'Anant Sahai'",spotlight,,"We study the asymptotic generalization of an overparameterized linear model for multiclass classification under the Gaussian covariates bi-level model introduced in Subramanian et al. (NeurIPS'22), where the number of data points, features, and classes all grow together. We fully resolve the conjecture posed in Subramanian et al. '22, matching the predicted regimes for which the model does and does not generalize. Furthermore, our new lower bounds are akin to an information-theoretic strong converse: they establish that the misclassification rate goes to 0 or 1 asymptotically. One surprising consequence of our tight results is that the min-norm interpolating classifier can be asymptotically suboptimal relative to noninterpolating classifiers in the regime where the min-norm interpolating regressor is known to be optimal. 

The key to our tight analysis is a new variant of the Hanson-Wright inequality which is broadly useful for multiclass problems with sparse labels. As an application, we show that the same type of analysis can be used to analyze the related multi-label classification problem under the same bi-level ensemble.",https://api2.openreview.net/pdf/d3b31b7fcd9567f5a7281bf08240d304f12a34de.pdf,zero_few-shot;sparse
Uncovering motifs of concurrent signaling across multiple neuronal populations,2023,NIPS,"'Evren Gokcen', 'Anna Ivic Jasper', 'Alison Xu', 'Adam Kohn', 'Christian K. Machens', 'Byron M. Yu'",spotlight,,"Modern recording techniques now allow us to record from distinct neuronal populations in different brain networks. However, especially as we consider multiple (more than two) populations, new conceptual and statistical frameworks are needed to characterize the multi-dimensional, concurrent flow of signals among these populations. Here, we develop a dimensionality reduction framework that determines (1) the subset of populations described by each latent dimension, (2) the direction of signal flow among those populations, and (3) how those signals evolve over time within and across experimental trials. We illustrate these features in simulation, and further validate the method by applying it to previously studied recordings from neuronal populations in macaque visual areas V1 and V2. Then we study interactions across select laminar compartments of areas V1, V2, and V3d, recorded simultaneously with multiple Neuropixels probes. Our approach uncovered signatures of selective communication across these three areas that related to their retinotopic alignment. This work advances the study of concurrent signaling across multiple neuronal populations.",https://api2.openreview.net/pdf/47ea21f513fbe9259accad7336a186edf6201da4.pdf,zero_few-shot;flow;3d;action detection;3d vision;alignment
How to Scale Your EMA,2023,NIPS,"'Dan Busbridge', 'Jason Ramapuram', 'Pierre Ablin', 'Tatiana Likhomanenko', 'Eeshan Gunesh Dhekane', 'Xavier Suau', 'Russell Webb'",spotlight,,"Preserving training dynamics across batch sizes is an important tool for practical machine learning as it enables the trade-off between batch size and wall-clock time. This trade-off is typically enabled by a scaling rule, for example, in stochastic gradient descent, one should scale the learning rate linearly with the batch size. Another important machine learning tool is the model EMA, a functional copy of a target model, whose parameters move towards those of its target model according to an Exponential Moving Average (EMA) at a rate parameterized by a momentum hyperparameter. This model EMA can improve the robustness and generalization of supervised learning, stabilize pseudo-labeling, and provide a learning signal for Self-Supervised Learning (SSL). Prior works have not considered the optimization of the model EMA when performing scaling, leading to different training dynamics across batch sizes and lower model performance. In this work, we provide a scaling rule for optimization in the presence of a model EMA and demonstrate the rule's validity across a range of architectures, optimizers, and data modalities.  We also show the rule's validity where the model EMA contributes to the optimization of the target model, enabling us to train EMA-based pseudo-labeling and SSL methods at small and large batch sizes. For SSL, we enable training of BYOL up to batch size 24,576 without sacrificing performance, a 6$\times$ wall-clock time reduction under idealized hardware settings.",https://api2.openreview.net/pdf/16a19affda7192ef0d6ac439a9862af2180de41d.pdf,optimization;zero_few-shot;transformer;self-learning;training dynamics
Towards Automated Circuit Discovery for Mechanistic Interpretability,2023,NIPS,"'Arthur Conmy', 'Augustine N. Mavor-Parker', 'Aengus Lynch', 'Stefan Heimersheim', 'Adrià Garriga-Alonso'",spotlight,,"Through considerable effort and intuition, several recent works have reverse-engineered nontrivial behaviors of
transformer models. This paper systematizes the mechanistic interpretability process they followed. First, researchers
choose a metric and dataset that elicit the desired model behavior. Then, they apply activation patching to find which
abstract neural network units are involved in the behavior. By varying the dataset, metric, and units under
investigation, researchers can understand the functionality of each component.

We automate one of the process' steps: finding the connections between the abstract neural network units that form a circuit. We propose several algorithms and reproduce previous interpretability results to validate them. For
example, the ACDC algorithm rediscovered 5/5 of the component types in a circuit in GPT-2 Small that computes the
Greater-Than operation. ACDC selected 68 of the 32,000 edges in GPT-2 Small, all of which were manually found by
previous work. Our code is available at https://github.com/ArthurConmy/Automatic-Circuit-Discovery",https://api2.openreview.net/pdf/ca04797a35df32989953386d3892ecdf3aedc869.pdf,graph;zero_few-shot;transformer;metric;explainable AI;search;interpretation
