,Title,Year,Source,Authors,Class,topic
0,Machine Learning for Addressing Power Grid Congestion,2021,ICML,Christopher Davis,Expo Workshop,
1,High-Quality Data Labeling at Scale with Toloka,2021,ICML,Olga Megorskaya · Saiph Savage · Omar Alonso · Daria Baidakova · Dmitry Ustalov · Vladimir Losev · Oleg Pavlov · Kate Saenko,Expo Workshop,
2,Real World RL: Azure Personalizer & Vowpal Wabbit,2021,ICML,Sheetal Lahabar · Etienne Kintzler · Mark Rucker · Bogdan Mazoure · Qingyun Wu · Pavithra Srinath · Jack Gerrits · Olga Vrousgou · John Langford · Eduardo Salinas,Expo Talk Panel,
3,The latest advances and use-cases in the field of Causal AI,2021,ICML,Darko Matovski · Alejandro Ortega Ancel,Expo Talk Panel,
4,"Unique Research Opportunities in AI Algorithms, Health, Traffic, and Weather",2021,ICML,Johannes Brandstetter · Sepp Hochreiter · Michael Kopp · David P Kreil · Alina Mihai,Expo Talk Panel,
5,Cool Moves: Decoupling physical motions and self-avatar motions in Virtual Reality,2021,ICML,Eyal Ofek,Expo Demonstration,
6,Neural Video Codec Demo,2021,ICML,Ron Tindall,Expo Talk Panel,
7,IBM Analog Hardware Acceleration Kit,2021,ICML,Kaoutar El Maghraoui · Malte J Rasch,Expo Talk Panel,
8,"Enterprise-Strength Federated Learning: New Algorithms, New Paradigms, and a Participant-Interactive Demonstration Session",2021,ICML,L W · Nathalie Baracaldo · Chaitanya Kumar · Parijat Dube · Mikhail Yurochkin · Theodoros Salonidis · Shiqiang Wang,Expo Workshop,active learning/federated learning
9,PaddlePaddle-based Deep Learning at Baidu,2021,ICML,Dejing Dou · Chenxia Li · Teng Xi · Dingfu Zhou · Tianyi Wu · Xuhong Li · Zhengjie Huang · Guocheng Niu · Ji Liu · Yaqing Wang · Xin Wang · Qianwei Cai,Expo Talk Panel,
10,Graviti Open Datasets: A peek into the future of Open Data,2021,ICML,Yunkai Cui · Junbo Zhao,Expo Demonstration,
11,Explainable Entity Matching for Master Data Management,2021,ICML,Balaji Ganesan · Soma Shekar Naganna,Social,
12,Queer in AI Social: AI for Biodiversity,2021,ICML,Vishakha Agrawal · Sara Beery,Affinity Workshop,
13,LatinX in AI (LXAI) Research at ICML 2021,2021,ICML,Maria Luisa Santiago · Miguel Alonso Jr · Laura Montoya · William Berrios · Fiorela Manco Fernández · Diana Diaz · Vinicius Caridá · LOURDES RAMIREZ CERNA · Pedro Braga · Gabriel Ramos · Leonel Rozo · Walter Mayor · Vanessa Gilede · Dennis Hernando Núñez Fernández · Erick Mendez Guzman · Paola Cascante-Bonilla,Tutorial,
14,Natural-XAI: Explainable AI with Natural Language Explanations,2021,ICML,Oana-Maria Camburu · Zeynep Akata,[],
15,Sparsity in Deep Learning: Pruning and growth for efficient inference and training,2021,ICML,Torsten Hoefler · Dan Alistarh,Tutorial,inference
16,"Synthetic Healthcare Data Generation and Assessment: Challenges, Methods, and Impact on Machine Learning",2021,ICML,Ahmed M. Alaa · Mihaela van der Schaar,Tutorial,generative model
17,From ML research to ML products: A path towards building models with real-world impact,2021,ICML,Gholamreza Salimi-Khorshidi · Peyman Faratin,Tutorial,
18,Continual Learning with Deep Architectures,2021,ICML,Vincenzo Lomonaco · Irina Rish,[],
19,Responsible AI in Industry: Practical Challenges and Lessons Learned,2021,ICML,Krishnaram Kenthapadi · Ben Packer · Mehrnoosh Sameki · Nashlie Sephus,[],
20,Online and non-stochastic control,2021,ICML,Elad Hazan · Karan Singh,[],online learning
21,Unsupervised Learning for Reinforcement Learning,2021,ICML,Aravind Srinivas · Pieter Abbeel,[],reinforcement learning
22,Social Implications of Large Language Models,2021,ICML,Hal Daume · Kate Crawford,Tutorial,
23,Random Matrix Theory and ML (RMT+ML),2021,ICML,Fabian Pedregosa · Courtney Paquette · Thomas Trogdon · Jeffrey Pennington,[],
24,LatinX in AI Social,2021,ICML,Maria Luisa Santiago · Miguel Alonso Jr · William Berrios,Affinity Poster Session,
25,"LatinX in AI, Queer in AI, WiML - Joint Poster Session",2021,ICML,[],Tutorial,
26,Privacy in learning: Basics and the interplay,2021,ICML,Huishuai Zhang · Wei Chen,[],
27,Self-Attention for Computer Vision,2021,ICML,Aravind Srinivas · Prajit Ramachandran · Ashish Vaswani,[],transformer
28,Phasic Policy Gradient,2021,ICML,In Deep Reinforcement Learning 1,Karl Cobbe · Jacob Hilton · Oleg Klimov · John Schulman,
29,Relative Positional Encoding for Transformers with Linear Complexity,2021,ICML,In Deep Learning Architectures,Antoine Liutkus · Ondřej Cífka · Shih-Lun Wu · Umut Simsekli · Yi-Hsuan Yang · Gaël RICHARD,transformer
30,Scalable Computations of Wasserstein Barycenter via Input Convex Neural Networks,2021,ICML,In Optimal Transport,Jiaojiao Fan · Amirhossein Taghvaei · Yongxin Chen,
31,Optimal Complexity in Decentralized Training,2021,ICML,In Optimization (Distributed),Yucheng Lu · Christopher De Sa,
32,Size-Invariant Graph Representations for Graph Classification Extrapolations,2021,ICML,In Graph Learning,Beatrice Bevilacqua · Yangze Zhou · Bruno Ribeiro,graph/representation
33,Scalable Evaluation of Multi-Agent Reinforcement Learning with Melting Pot,2021,ICML,In Reinforcement Learning (Multi-agent),Joel Z Leibo · Edgar Duenez-Guzman · Alexander Vezhnevets · John Agapiou · Peter Sunehag · Raphael Koster · Jayd Matyas · Charles Beattie · Igor Mordatch · Thore Graepel,reinforcement learning/multi-agent
34,Deeply-Debiased Off-Policy Interval Estimation,2021,ICML,In Deep Reinforcement Learning 2,Chengchun Shi · Runzhe Wan · Victor Chernozhukov · Rui Song,reinforcement learning
35,Attention is not all you need: pure attention loses rank doubly exponentially with depth,2021,ICML,In Deep Learning Applications,Yihe Dong · Jean-Baptiste Cordonnier · Andreas Loukas,transformer
36,BORE: Bayesian Optimization by Density-Ratio Estimation,2021,ICML,In Auto-ML and Optimization,Louis Chi-Chun Tiao · Aaron Klein · Matthias W Seeger · Edwin V Bonilla · Cedric Archambeau · Fabio Ramos,optimization/bayesian
37,Offline Contextual Bandits with Overparameterized Models,2021,ICML,In Deep Reinforcement Learning 2,David Brandfonbrener · William Whitney · Rajesh Ranganath · Joan Bruna,
38,Consistent Nonparametric Methods for Network Assisted Covariate Estimation,2021,ICML,In Graph Learning,Xueyu Mao · Deepayan Chakrabarti · Purnamrita Sarkar,metric
39,Navigation Turing Test (NTT): Learning to Evaluate Human-Like Navigation,2021,ICML,In Deep Learning Applications,Sam Devlin · Raluca Georgescu · Ida Momennejad · Jaroslaw Rzepecki · Evelyn Zuniga · Gavin Costello · Guy Leroy · Ali Shaw · Katja Hofmann,
40,Outlier-Robust Optimal Transport,2021,ICML,In Optimal Transport,Debarghya Mukherjee · Aritra Guha · Justin Solomon · Yuekai Sun · Mikhail Yurochkin,
41,In Deep Learning Architectures,2021,ICML,Yuhang Li · Shikuang Deng · Xin Dong · Ruihao Gong · Shi Gu,Spotlight,
42,Stochastic Sign Descent Methods: New Algorithms and Better Theory,2021,ICML,In Optimization (Distributed),Mher Safaryan · Peter Richtarik,
43,AutoSampling: Search for Effective Data Sampling Schedules,2021,ICML,In Auto-ML and Optimization,MING SUN · Haoxuan Dou · Baopu Li · Junjie Yan · Wanli Ouyang · Lei Cui,
44,Reinforcement Learning with Prototypical Representations,2021,ICML,In Deep Reinforcement Learning 1,Denis Yarats · Rob Fergus · Alessandro Lazaric · Lerrel Pinto,reinforcement learning/representation
45,UneVEn: Universal Value Exploration for Multi-Agent Reinforcement Learning,2021,ICML,In Reinforcement Learning (Multi-agent),Tarun Gupta · Anuj Mahajan · Bei Peng · Wendelin Boehmer · Shimon Whiteson,reinforcement learning/multi-agent
46,Bias-Variance Reduced Local SGD for Less Heterogeneous Federated Learning,2021,ICML,In Optimization (Distributed),Tomoya Murata · Taiji Suzuki,federated learning
47,A Policy Gradient Algorithm for Learning to Learn in Multiagent Reinforcement Learning,2021,ICML,In Reinforcement Learning (Multi-agent),Dong Ki Kim · Miao Liu · Matthew Riemer · Chuangchuang Sun · Marwa Abdulhai · Golnaz Habibi · Sebastian Lopez-Cot · Gerald Tesauro · Jonathan How,reinforcement learning
48,A Unified Lottery Ticket Hypothesis for Graph Neural Networks,2021,ICML,In Deep Learning Architectures,Tianlong Chen · Yongduo Sui · Xuxi Chen · Aston Zhang · Zhangyang Wang,graph
49,Efficient Generative Modelling of Protein Structure Fragments using a Deep Markov Model,2021,ICML,In Deep Learning Applications,Christian Thygesen · Christian Skjødt Steenmans · Ahmad Salim Al-Sibahi · Lys Sanz Moreta · Anders Bundgård Sørensen · Thomas Hamelryck,generative model
50,Explainable Automated Graph Representation Learning with Hyperparameter Importance,2021,ICML,In Graph Learning,Xin Wang · Shuyi Fan · Kun Kuang · wenwu zhu,graph/representation
51,Dataset Dynamics via Gradient Flows in Probability Space,2021,ICML,In Optimal Transport,David Alvarez-Melis · Nicolo Fusi,zero_few-shot/flow
52,Demonstration-Conditioned Reinforcement Learning for Few-Shot Imitation,2021,ICML,In Deep Reinforcement Learning 2,Christopher Dance · Perez Julien · Théo Cachet,reinforcement learning
53,HardCoRe-NAS: Hard Constrained diffeRentiable Neural Architecture Search,2021,ICML,In Auto-ML and Optimization,Niv Nayman · Yonathan Aflalo · Asaf Noy · Lihi Zelnik,optimization
54,Diversity Actor-Critic: Sample-Aware Entropy Regularization for Sample-Efficient Exploration,2021,ICML,In Deep Reinforcement Learning 1,Seungyul Han · Youngchul Sung,
55,Multi-Agent Training beyond Zero-Sum with Correlated Equilibrium Meta-Solvers,2021,ICML,In Reinforcement Learning (Multi-agent),Luke Marris · Paul Muller · Marc Lanctot · Karl Tuyls · Thore Graepel,reinforcement learning/meta-learning/multi-agent
56,Generative Adversarial Transformers,2021,ICML,In Deep Learning Architectures,Drew A. Hudson · Larry Zitnick,transformer/generative model
57,Sliced Iterative Normalizing Flows,2021,ICML,In Optimal Transport,Biwei Dai · Uros Seljak,zero_few-shot/flow
58,A New Representation of Successor Features for Transfer across Dissimilar Environments,2021,ICML,In Deep Reinforcement Learning 2,Majid Abdolshah · Hung Le · Thommen Karimpanal George · Sunil Gupta · Santu Rana · Svetha Venkatesh,representation/transfer learning
59,Bias-Robust Bayesian Optimization via Dueling Bandits,2021,ICML,In Auto-ML and Optimization,Johannes Kirschner · Andreas Krause,optimization/bayesian
60,Exploiting structured data for learning contagious diseases under incomplete testing,2021,ICML,In Deep Learning Applications,Maggie Makar · Lauren R West · David C Hooper · Eric Horvitz · Erica Shenoy · John Guttag,
61,Breaking the Limits of Message Passing Graph Neural Networks,2021,ICML,In Graph Learning,Muhammet Balcilar · Pierre Heroux · Benoit Gauzere · Pascal Vasseur · Sebastien Adam · Paul Honeine,graph
62,A Hybrid Variance-Reduced Method for Decentralized Stochastic Non-Convex Optimization,2021,ICML,In Optimization (Distributed),Ran Xin · Usman Khan · Soummya Kar,optimization
63,Muesli: Combining Improvements in Policy Optimization,2021,ICML,In Deep Reinforcement Learning 1,Matteo Hessel · Ivo Danihelka · Fabio Viola · Arthur Guez · Simon Schmitt · Laurent Sifre · Theophane Weber · David Silver · Hado van Hasselt,optimization
64,Strategic Classification Made Practical,2021,ICML,In Deep Learning Applications,Sagi Levanon · Nir Rosenfeld,
65,Zeroth-Order Non-Convex Learning via Hierarchical Dual Averaging,2021,ICML,In Auto-ML and Optimization,Amélie Héliou · Matthieu Martin · Panayotis Mertikopoulos · Thibaud J Rahier,
66,Low-Rank Sinkhorn Factorization,2021,ICML,In Optimal Transport,Meyer Scetbon · Marco Cuturi · Gabriel Peyré,zero_few-shot/low-rank
67,Asynchronous Decentralized Optimization With Implicit Stochastic Variance Reduction,2021,ICML,In Optimization (Distributed),Kenta Niwa · Guoqiang Zhang · W. Bastiaan Kleijn · Noboru Harada · Hiroshi Sawada · Akinori Fujino,optimization
68,From Local Structures to Size Generalization in Graph Neural Networks,2021,ICML,In Graph Learning,Gilad Yehudai · Ethan Fetaya · eli meirom · Gal Chechik · Haggai Maron,graph
69,PC-MLP: Model-based Reinforcement Learning with Policy Cover Guided Exploration,2021,ICML,In Reinforcement Learning (Multi-agent),Yuda Song · Wen Sun,reinforcement learning
70,Preferential Temporal Difference Learning,2021,ICML,In Deep Reinforcement Learning 2,Nishanth Anand · Doina Precup,
71,Evolving Attention with Residual Convolutions,2021,ICML,In Deep Learning Architectures,Yujing Wang · Yaming Yang · Jiangang Bai · Mingliang Zhang · Jing Bai · JING YU · Ce Zhang · Gao Huang · Yunhai Tong,transformer
72,Unsupervised Learning of Visual 3D Keypoints for Control,2021,ICML,In Deep Reinforcement Learning 1,Boyuan Chen · Pieter Abbeel · Deepak Pathak,
73,Zoo-Tuning: Adaptive Transfer from A Zoo of Models,2021,ICML,In Deep Learning Architectures,Yang Shu · Zhi Kou · Zhangjie Cao · Jianmin Wang · Mingsheng Long,adaptive/transfer learning
74,Interpretable Stability Bounds for Spectral Graph Filters,2021,ICML,In Graph Learning,Henry Kenlay · Dorina Thanou · Xiaowen Dong,graph
75,Imitation by Predicting Observations,2021,ICML,In Reinforcement Learning (Multi-agent),Andrew Jaegle · Yury Sulsky · Arun Ahuja · Jake Bruce · Rob Fergus · Greg Wayne,
76,Unbalanced minibatch Optimal Transport; applications to Domain Adaptation,2021,ICML,In Optimal Transport,Kilian Fatras · Thibault Séjourné · Rémi Flamary · Nicolas Courty,
77,Learning Task Informed Abstractions,2021,ICML,In Deep Reinforcement Learning 1,Xiang Fu · Ge Yang · Pulkit Agrawal · Tommi Jaakkola,
78,Large-Margin Contrastive Learning with Distance Polarization Regularizer,2021,ICML,In Deep Learning Applications,Shuo Chen · Gang Niu · Chen Gong · Jun Li · Jian Yang · Masashi Sugiyama,contrastive learning
79,On the Optimality of Batch Policy Optimization Algorithms,2021,ICML,In Deep Reinforcement Learning 2,Chenjun Xiao · Yifan Wu · Jincheng Mei · Bo Dai · Tor Lattimore · Lihong Li · Csaba Szepesvari · Dale Schuurmans,optimization
80,Sparsifying Networks via Subdifferential Inclusion,2021,ICML,In Auto-ML and Optimization,Sagar Verma · Jean-Christophe Pesquet,
81,Newton Method over Networks is Fast up to the Statistical Precision,2021,ICML,In Optimization (Distributed),Amir Daneshmand · Gesualdo Scutari · Pavel Dvurechenskii · Alexander Gasnikov,
82,Q&A,2021,ICML,In Auto-ML and Optimization,Q&A,
