Title,Year,Source,Authors,Class,topic
On the mapping between Hopfield networks and Restricted Boltzmann Machines,2022,ICLR,"Matthew Smart, Anton Zilman",oral,
Complex Query Answering with Neural Link Predictors,2022,ICLR,"Erik Arakelyan, Daniel Daza, Pasquale Minervini, Michael Cochez",oral,
Share or Not? Learning to Schedule Language-Specific Capacity for Multilingual Translation,2022,ICLR,"Biao Zhang, Ankur Bapna, Rico Sennrich, Orhan Firat",oral,
End-to-end Adversarial Text-to-Speech,2022,ICLR,"Jeff Donahue, Sander Dieleman, Mikolaj Binkowski, Erich Elsen, Karen Simonyan",oral,
Co-Mixup: Saliency Guided Joint Mixup with Supermodular Diversity,2022,ICLR,"JangHyun Kim, Wonho Choo, Hosan Jeong, Hyun Oh Song",oral,
Contrastive Explanations for Reinforcement Learning via Embedded Self Predictions,2022,ICLR,"Zhengxian Lin, Kin-Ho Lam, Alan Fern",oral,reinforcement learning/contrastive learning
Why Are Convolutional Nets More Sample-Efficient than Fully-Connected Nets?,2022,ICLR,"Zhiyuan Li, Yi Zhang, Sanjeev Arora",oral,
Iterated learning for emergent systematicity in VQA,2022,ICLR,"Ankit Vani, Max Schwarzer, Yuchen Lu, Eeshan Dhekane, Aaron Courville",oral,
When Do Curricula Work?,2022,ICLR,"Xiaoxia Wu, Ethan Dyer, Behnam Neyshabur",oral,
Deep symbolic regression: Recovering mathematical expressions from data via risk-seeking policy gradients,2022,ICLR,"Brenden K Petersen, Mikel Landajuela Larma, Terrell N. Mundhenk, Claudio Prata Santiago, Soo Kyung Kim, Joanne Taery Kim",oral,
Improved Autoregressive Modeling with Distribution Smoothing,2022,ICLR,"Chenlin Meng, Jiaming Song, Yang Song, Shengjia Zhao, Stefano Ermon",oral,
Score-Based Generative Modeling through Stochastic Differential Equations,2022,ICLR,"Yang Song, Jascha Sohl-Dickstein, Diederik P Kingma, Abhishek Kumar, Stefano Ermon, Ben Poole",oral,generative model
Global Convergence of Three-layer Neural Networks in the Mean Field Regime,2022,ICLR,"Huy Tuan Pham, Phan-Minh Nguyen",oral,
Rethinking Architecture Selection in Differentiable NAS,2022,ICLR,"Ruochen Wang, Minhao Cheng, Xiangning Chen, Xiaocheng Tang, Cho-Jui Hsieh",oral,
Evolving Reinforcement Learning Algorithms,2022,ICLR,"John D Co-Reyes, Yingjie Miao, Daiyi Peng, Esteban Real, Quoc V Le, Sergey Levine, Honglak Lee, Aleksandra Faust",oral,reinforcement learning
Image GANs meet Differentiable Rendering for Inverse Graphics and Interpretable 3D Neural Rendering,2022,ICLR,"Yuxuan Zhang, Wenzheng Chen, Huan Ling, Jun Gao, Yinan Zhang, Antonio Torralba, Sanja Fidler",oral,graph
MONGOOSE: A Learnable LSH Framework for Efficient Neural Network Training,2022,ICLR,"Beidi Chen, Zichang Liu, Binghui Peng, Zhaozhuo Xu, Jonathan Lingjie Li, Tri Dao, Zhao Song, Anshumali Shrivastava, Christopher Re",oral,
Parrot: Data-Driven Behavioral Priors for Reinforcement Learning,2022,ICLR,"Avi Singh, Huihan Liu, Gaoyue Zhou, Albert Yu, Nicholas Rhinehart, Sergey Levine",oral,reinforcement learning
SenSeI: Sensitive Set Invariance for Enforcing Individual Fairness,2022,ICLR,"Mikhail Yurochkin, Yuekai Sun",oral,
Theoretical Analysis of Self-Training with Deep Networks on Unlabeled Data,2022,ICLR,"Colin Wei, Kendrick Shen, Yining Chen, Tengyu Ma",oral,
Growing Efficient Deep Networks by Structured Continuous Sparsification,2022,ICLR,"Xin Yuan, Pedro Henrique Pamplona Savarese, Michael Maire",oral,
VCNet and Functional Targeted Regularization For Learning Causal Effects of Continuous Treatments,2022,ICLR,"Lizhen Nie, Mao Ye, qiang liu, Dan Nicolae",oral,
EigenGame: PCA as a Nash Equilibrium,2022,ICLR,"Ian Gemp, Brian McWilliams, Claire Vernade, Thore Graepel",oral,
Randomized Automatic Differentiation,2022,ICLR,"Deniz Oktay, Nick McGreivy, Joshua Aduol, Alex Beatson, Ryan P Adams",oral,
A Distributional Approach to Controlled Text Generation,2022,ICLR,"Muhammad Khalifa, Hady Elsahar, Marc Dymetman",oral,generative model
An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2022,ICLR,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",oral,transformer
Getting a CLUE: A Method for Explaining Uncertainty Estimates,2022,ICLR,"Javier Antoran, Umang Bhatt, Tameem Adel, Adrian Weller, José Miguel Hernández-Lobato",oral,
Optimal Rates for Averaged Stochastic Gradient Descent under Neural Tangent Kernel Regime,2022,ICLR,"Atsushi Nitanda, Taiji Suzuki",oral,
Learning Invariant Representations for Reinforcement Learning without Reconstruction,2022,ICLR,"Amy Zhang, Rowan Thomas McAllister, Roberto Calandra, Yarin Gal, Sergey Levine",oral,reinforcement learning/representation
Rethinking the Role of Gradient-based Attribution Methods for Model Interpretability,2022,ICLR,"Suraj Srinivas, Francois Fleuret",oral,
SMiRL: Surprise Minimizing Reinforcement Learning in Unstable Environments,2022,ICLR,"Glen Berseth, Daniel Geng, Coline Manon Devin, Nicholas Rhinehart, Chelsea Finn, Dinesh Jayaraman, Sergey Levine",oral,reinforcement learning
Learning to Reach Goals via Iterated Supervised Learning,2022,ICLR,"Dibya Ghosh, Abhishek Gupta, Ashwin Reddy, Justin Fu, Coline Manon Devin, Benjamin Eysenbach, Sergey Levine",oral,
Self-training For Few-shot Transfer Across Extreme Task Differences,2022,ICLR,"Cheng Perng Phoo, Bharath Hariharan",oral,transfer learning
